invoice_no,stock_code,description,category,quantity,invoice_date,unit_price_GBP,revenue_GBP,customer_id,country,current_stock,reorder_point,lead_time_days,stock_status
522644,S10005,ASSORTED COLOUR BIRD ORNAMENT,Home Decor,64,2009-12-05,1.52,97.25,C16766,United Kingdom,163,71,12,Adequate
541142,S10003,PARTY BUNTING,Party,5,2009-12-05,5.07,25.34,C16557,United Kingdom,229,56,6,Adequate
512364,S10006,PAPER CHAIN KIT 50S CHRISTMAS,Party,1,2009-12-06,2.63,2.63,C14123,United Kingdom,144,62,16,Adequate
534507,S10003,PARTY BUNTING,Party,21,2009-12-06,4.87,102.25,C12610,Spain,229,56,6,Adequate
548596,S10018,WOODEN FRAME ANTIQUE WHITE,Home Decor,18,2009-12-06,2.88,51.8,C13708,United Kingdom,28,22,3,Adequate
511210,S10002,JUMBO BAG RED RETROSPOT,Bags,18,2009-12-06,1.71,30.69,C12919,Belgium,215,51,16,Adequate
525625,S10017,JUMBO SHOPPER VINTAGE RED PAISLEY,Bags,1,2009-12-06,1.79,1.79,C10157,United Kingdom,280,35,16,Adequate
582382,S10007,CREAM CUPID HEARTS COAT HANGER,Home Decor,21,2009-12-06,2.72,57.12,C13437,United Kingdom,189,53,4,Adequate
553973,S10006,PAPER CHAIN KIT 50S CHRISTMAS,Party,7,2009-12-06,2.65,18.58,C16596,United Kingdom,144,62,16,Adequate
593718,S10003,PARTY BUNTING,Party,5,2009-12-06,5.38,26.92,C14717,United Kingdom,229,56,6,Adequate
523146,S10012,HAND WARMER UNION JACK,Gifts,43,2009-12-06,1.9,81.69,C14918,Netherlands,254,60,3,Adequate
583769,S10013,VINTAGE UNION JACK MEMOBOARD,Stationery,10,2009-12-06,3.82,38.15,C10638,United Kingdom,52,71,8,Low
511748,S10008,KNITTED UNION FLAG HOT WATER BOTTLE,Gifts,1,2009-12-06,3.3,3.3,C12639,United Kingdom,128,80,3,Adequate
588935,S10000,WHITE HANGING HEART T-LIGHT HOLDER,Home Decor,7,2009-12-06,1.19,8.31,C10051,United Kingdom,237,65,5,Adequate
554186,S10017,JUMBO SHOPPER VINTAGE RED PAISLEY,Bags,10,2009-12-06,1.95,19.53,C14912,United Kingdom,280,35,16,Adequate
565589,S10019,BAKING SET 9 PIECE RETROSPOT,Kitchenware,21,2009-12-06,4.61,96.9,C11471,Australia,114,46,12,Adequate
582449,S10007,CREAM CUPID HEARTS COAT HANGER,Home Decor,3,2009-12-06,2.91,8.72,C17983,United Kingdom,189,53,4,Adequate
513777,S10012,HAND WARMER UNION JACK,Gifts,18,2009-12-06,1.82,32.75,C10329,United Kingdom,254,60,3,Adequate
572757,S10007,CREAM CUPID HEARTS COAT HANGER,Home Decor,18,2009-12-06,2.66,47.89,C18976,United Kingdom,189,53,4,Adequate
598122,S10005,ASSORTED COLOUR BIRD ORNAMENT,Home Decor,1,2009-12-07,1.73,1.73,C18487,United Kingdom,163,71,12,Adequate
540161,S10000,WHITE HANGING HEART T-LIGHT HOLDER,Home Decor,1,2009-12-07,1.25,1.25,C10345,United Kingdom,237,65,5,Adequate
534169,S10007,CREAM CUPID HEARTS COAT HANGER,Home Decor,7,2009-12-07,2.58,18.09,C12201,United Kingdom,189,53,4,Adequate
522483,S10016,WOODEN PICTURE FRAME WHITE FINISH,Home Decor,18,2009-12-07,2.67,48.11,C17313,United Kingdom,188,34,9,Adequate
549787,S10000,WHITE HANGING HEART T-LIGHT HOLDER,Home Decor,7,2009-12-07,1.21,8.48,C11505,United Kingdom,237,65,5,Adequate
593687,S10011,GLASS STAR FROSTED T-LIGHT HOLDER,Home Decor,18,2009-12-07,4.45,80.05,C13874,Australia,191,64,15,Adequate
539106,S10017,JUMBO SHOPPER VINTAGE RED PAISLEY,Bags,10,2009-12-07,1.93,19.28,C13447,United Kingdom,280,35,16,Adequate
552715,S10003,PARTY BUNTING,Party,10,2009-12-07,4.64,46.38,C18759,United Kingdom,229,56,6,Adequate
590733,S10002,JUMBO BAG RED RETROSPOT,Bags,1,2009-12-07,1.57,1.57,C13956,Australia,215,51,16,Adequate
554823,S10014,STRAWBERRY CERAMIC TRINKET BOX,Ceramics,1,2009-12-07,1.23,1.23,C18221,United Kingdom,108,85,6,Adequate
564563,S10004,LUNCH BAG RED RETROSPOT,Bags,14,2009-12-08,1.58,22.1,C16641,Australia,154,86,9,Adequate
555536,S10003,PARTY BUNTING,Party,14,2009-12-08,5.38,75.28,C13658,Spain,229,56,6,Adequate
575417,S10006,PAPER CHAIN KIT 50S CHRISTMAS,Party,7,2009-12-08,2.52,17.67,C12541,United Kingdom,144,62,16,Adequate
566303,S10006,PAPER CHAIN KIT 50S CHRISTMAS,Party,7,2009-12-08,2.66,18.64,C16883,United Kingdom,144,62,16,Adequate
532292,S10017,JUMBO SHOPPER VINTAGE RED PAISLEY,Bags,10,2009-12-08,1.9,18.98,C13209,United Kingdom,280,35,16,Adequate
542566,S10012,HAND WARMER UNION JACK,Gifts,1,2009-12-08,1.87,1.87,C10693,United Kingdom,254,60,3,Adequate
565514,S10006,PAPER CHAIN KIT 50S CHRISTMAS,Party,10,2009-12-08,2.56,25.55,C13873,United Kingdom,144,62,16,Adequate
565156,S10009,RED WOOLLY HOTTIE WHITE HEART,Gifts,5,2009-12-08,3.6,18.0,C15310,United Kingdom,275,90,18,Adequate
579346,S10018,WOODEN FRAME ANTIQUE WHITE,Home Decor,10,2009-12-08,2.83,28.28,C14766,United Kingdom,28,22,3,Adequate
532485,S10001,REGENCY CAKESTAND 3 TIER,Kitchenware,7,2009-12-08,13.85,96.95,C11503,United Kingdom,90,78,17,Adequate
510826,S10003,PARTY BUNTING,Party,14,2009-12-08,4.63,64.84,C10177,United Kingdom,229,56,6,Adequate
595923,S10018,WOODEN FRAME ANTIQUE WHITE,Home Decor,3,2009-12-08,3.07,9.2,C19936,France,28,22,3,Adequate
540537,S10018,WOODEN FRAME ANTIQUE WHITE,Home Decor,5,2009-12-09,2.74,13.71,C10993,United Kingdom,28,22,3,Adequate
518481,S10002,JUMBO BAG RED RETROSPOT,Bags,5,2009-12-09,1.62,8.12,C14898,United Kingdom,215,51,16,Adequate
530981,S10002,JUMBO BAG RED RETROSPOT,Bags,14,2009-12-09,1.66,23.21,C13046,France,215,51,16,Adequate
583212,S10007,CREAM CUPID HEARTS COAT HANGER,Home Decor,5,2009-12-09,2.68,13.42,C15857,United Kingdom,189,53,4,Adequate
541109,S10000,WHITE HANGING HEART T-LIGHT HOLDER,Home Decor,3,2009-12-09,1.24,3.72,C15345,United Kingdom,237,65,5,Adequate
584381,S10012,HAND WARMER UNION JACK,Gifts,86,2009-12-09,1.72,148.07,C16050,United Kingdom,254,60,3,Adequate
578666,S10000,WHITE HANGING HEART T-LIGHT HOLDER,Home Decor,7,2009-12-09,1.19,8.32,C18726,United Kingdom,237,65,5,Adequate
511080,S10000,WHITE HANGING HEART T-LIGHT HOLDER,Home Decor,1,2009-12-09,1.28,1.28,C18188,United Kingdom,237,65,5,Adequate
545876,S10008,KNITTED UNION FLAG HOT WATER BOTTLE,Gifts,10,2009-12-09,3.4,33.95,C13029,United Kingdom,128,80,3,Adequate
562921,S10018,WOODEN FRAME ANTIQUE WHITE,Home Decor,14,2009-12-10,2.85,39.87,C10734,United Kingdom,28,22,3,Adequate
551426,S10007,CREAM CUPID HEARTS COAT HANGER,Home Decor,7,2009-12-10,2.93,20.52,C15468,United Kingdom,189,53,4,Adequate
531279,S10005,ASSORTED COLOUR BIRD ORNAMENT,Home Decor,10,2009-12-10,1.59,15.87,C17442,France,163,71,12,Adequate
573613,S10019,BAKING SET 9 PIECE RETROSPOT,Kitchenware,3,2009-12-10,4.57,13.7,C10949,United Kingdom,114,46,12,Adequate
524036,S10009,RED WOOLLY HOTTIE WHITE HEART,Gifts,5,2009-12-10,3.3,16.52,C18739,France,275,90,18,Adequate
558464,S10006,PAPER CHAIN KIT 50S CHRISTMAS,Party,3,2009-12-10,2.63,7.89,C10311,United Kingdom,144,62,16,Adequate
534252,S10006,PAPER CHAIN KIT 50S CHRISTMAS,Party,5,2009-12-10,2.56,12.78,C19160,United Kingdom,144,62,16,Adequate
512027,S10003,PARTY BUNTING,Party,7,2009-12-10,4.92,34.46,C15951,Netherlands,229,56,6,Adequate
570600,S10009,RED WOOLLY HOTTIE WHITE HEART,Gifts,5,2009-12-10,3.08,15.39,C12274,United Kingdom,275,90,18,Adequate
595612,S10007,CREAM CUPID HEARTS COAT HANGER,Home Decor,7,2009-12-10,2.87,20.08,C11082,United Kingdom,189,53,4,Adequate
554375,S10004,LUNCH BAG RED RETROSPOT,Bags,7,2009-12-10,1.63,11.42,C15216,United Kingdom,154,86,9,Adequate
598209,S10002,JUMBO BAG RED RETROSPOT,Bags,3,2009-12-10,1.66,4.98,C10720,United Kingdom,215,51,16,Adequate
589835,S10005,ASSORTED COLOUR BIRD ORNAMENT,Home Decor,1,2009-12-10,1.63,1.63,C14344,United Kingdom,163,71,12,Adequate
528636,S10009,RED WOOLLY HOTTIE WHITE HEART,Gifts,3,2009-12-10,3.24,9.71,C18012,United Kingdom,275,90,18,Adequate
571897,S10000,WHITE HANGING HEART T-LIGHT HOLDER,Home Decor,3,2009-12-10,1.34,4.03,C12308,United Kingdom,237,65,5,Adequate
570078,S10002,JUMBO BAG RED RETROSPOT,Bags,14,2009-12-11,1.5,21.05,C11426,Germany,215,51,16,Adequate
560406,S10018,WOODEN FRAME ANTIQUE WHITE,Home Decor,18,2009-12-11,2.79,50.3,C14153,United Kingdom,28,22,3,Adequate
569130,S10010,SET 7 BABUSHKA NESTING BOXES,Toys,14,2009-12-11,8.22,115.03,C10072,United Kingdom,196,86,18,Adequate
599445,S10000,WHITE HANGING HEART T-LIGHT HOLDER,Home Decor,10,2009-12-11,1.29,12.9,C14080,Australia,237,65,5,Adequate
587863,S10013,VINTAGE UNION JACK MEMOBOARD,Stationery,3,2009-12-11,3.73,11.18,C16677,United Kingdom,52,71,8,Low
568091,S10000,WHITE HANGING HEART T-LIGHT HOLDER,Home Decor,14,2009-12-11,1.33,18.59,C14198,United Kingdom,237,65,5,Adequate
573762,S10014,STRAWBERRY CERAMIC TRINKET BOX,Ceramics,10,2009-12-11,1.28,12.78,C19327,United Kingdom,108,85,6,Adequate
536198,S10014,STRAWBERRY CERAMIC TRINKET BOX,Ceramics,1,2009-12-11,1.26,1.26,C10818,United Kingdom,108,85,6,Adequate
574239,S10012,HAND WARMER UNION JACK,Gifts,21,2009-12-11,1.87,39.29,C10917,United Kingdom,254,60,3,Adequate
543123,S10014,STRAWBERRY CERAMIC TRINKET BOX,Ceramics,1,2009-12-11,1.28,1.28,C11530,United Kingdom,108,85,6,Adequate
565450,S10000,WHITE HANGING HEART T-LIGHT HOLDER,Home Decor,7,2009-12-11,1.28,8.97,C14465,United Kingdom,237,65,5,Adequate
578275,S10014,STRAWBERRY CERAMIC TRINKET BOX,Ceramics,7,2009-12-11,1.39,9.71,C16975,United Kingdom,108,85,6,Adequate
589926,S10002,JUMBO BAG RED RETROSPOT,Bags,18,2009-12-11,1.63,29.41,C17352,United Kingdom,215,51,16,Adequate
568059,S10005,ASSORTED COLOUR BIRD ORNAMENT,Home Decor,43,2009-12-11,1.68,72.07,C11049,United Kingdom,163,71,12,Adequate
546698,S10018,WOODEN FRAME ANTIQUE WHITE,Home Decor,43,2009-12-11,2.77,119.01,C18216,United Kingdom,28,22,3,Adequate
534032,S10009,RED WOOLLY HOTTIE WHITE HEART,Gifts,7,2009-12-11,3.38,23.67,C10927,United Kingdom,275,90,18,Adequate
515258,S10019,BAKING SET 9 PIECE RETROSPOT,Kitchenware,10,2009-12-11,5.08,50.83,C11845,United Kingdom,114,46,12,Adequate
596416,S10000,WHITE HANGING HEART T-LIGHT HOLDER,Home Decor,1,2009-12-12,1.31,1.31,C18156,United Kingdom,237,65,5,Adequate
522517,S10008,KNITTED UNION FLAG HOT WATER BOTTLE,Gifts,7,2009-12-12,3.3,23.08,C14778,Spain,128,80,3,Adequate
570737,S10000,WHITE HANGING HEART T-LIGHT HOLDER,Home Decor,21,2009-12-12,1.25,26.29,C11927,France,237,65,5,Adequate
581793,S10012,HAND WARMER UNION JACK,Gifts,5,2009-12-12,1.73,8.65,C10685,France,254,60,3,Adequate
541135,S10000,WHITE HANGING HEART T-LIGHT HOLDER,Home Decor,1,2009-12-12,1.19,1.19,C16433,United Kingdom,237,65,5,Adequate
548871,S10002,JUMBO BAG RED RETROSPOT,Bags,3,2009-12-12,1.66,4.99,C16723,United Kingdom,215,51,16,Adequate
564284,S10004,LUNCH BAG RED RETROSPOT,Bags,5,2009-12-12,1.61,8.05,C18078,United Kingdom,154,86,9,Adequate
552642,S10014,STRAWBERRY CERAMIC TRINKET BOX,Ceramics,3,2009-12-12,1.18,3.55,C19873,United Kingdom,108,85,6,Adequate
540644,S10002,JUMBO BAG RED RETROSPOT,Bags,5,2009-12-12,1.69,8.45,C10138,United Kingdom,215,51,16,Adequate
568790,S10016,WOODEN PICTURE FRAME WHITE FINISH,Home Decor,5,2009-12-12,2.44,12.2,C15338,United Kingdom,188,34,9,Adequate
549956,S10002,JUMBO BAG RED RETROSPOT,Bags,3,2009-12-12,1.52,4.56,C18689,United Kingdom,215,51,16,Adequate
552479,S10000,WHITE HANGING HEART T-LIGHT HOLDER,Home Decor,1,2009-12-12,1.12,1.12,C11048,United Kingdom,237,65,5,Adequate
514310,S10006,PAPER CHAIN KIT 50S CHRISTMAS,Party,21,2009-12-12,2.48,52.02,C18597,Australia,144,62,16,Adequate
531382,S10019,BAKING SET 9 PIECE RETROSPOT,Kitchenware,10,2009-12-13,4.28,42.81,C15371,United Kingdom,114,46,12,Adequate
584067,S10001,REGENCY CAKESTAND 3 TIER,Kitchenware,10,2009-12-13,11.56,115.59,C11750,Germany,90,78,17,Adequate
518303,S10001,REGENCY CAKESTAND 3 TIER,Kitchenware,10,2009-12-13,13.47,134.7,C17049,United Kingdom,90,78,17,Adequate
571821,S10014,STRAWBERRY CERAMIC TRINKET BOX,Ceramics,5,2009-12-13,1.24,6.22,C11616,France,108,85,6,Adequate
539773,S10005,ASSORTED COLOUR BIRD ORNAMENT,Home Decor,18,2009-12-13,1.67,30.02,C19292,United Kingdom,163,71,12,Adequate
562889,S10014,STRAWBERRY CERAMIC TRINKET BOX,Ceramics,43,2009-12-13,1.24,53.24,C10479,Belgium,108,85,6,Adequate
579717,S10003,PARTY BUNTING,Party,1,2009-12-13,4.67,4.67,C17325,United Kingdom,229,56,6,Adequate
576019,S10007,CREAM CUPID HEARTS COAT HANGER,Home Decor,1,2009-12-13,2.81,2.81,C11709,United Kingdom,189,53,4,Adequate
588297,S10004,LUNCH BAG RED RETROSPOT,Bags,10,2009-12-13,1.64,16.39,C17316,United Kingdom,154,86,9,Adequate
535456,S10007,CREAM CUPID HEARTS COAT HANGER,Home Decor,3,2009-12-13,2.65,7.94,C15262,United Kingdom,189,53,4,Adequate
562254,S10014,STRAWBERRY CERAMIC TRINKET BOX,Ceramics,43,2009-12-13,1.21,52.12,C15456,France,108,85,6,Adequate
550295,S10014,STRAWBERRY CERAMIC TRINKET BOX,Ceramics,10,2009-12-13,1.17,11.73,C10452,Australia,108,85,6,Adequate
589171,S10009,RED WOOLLY HOTTIE WHITE HEART,Gifts,5,2009-12-13,3.32,16.61,C14488,United Kingdom,275,90,18,Adequate
592087,S10018,WOODEN FRAME ANTIQUE WHITE,Home Decor,5,2009-12-13,2.91,14.57,C11369,United Kingdom,28,22,3,Adequate
550218,S10004,LUNCH BAG RED RETROSPOT,Bags,10,2009-12-14,1.61,16.14,C16308,United Kingdom,154,86,9,Adequate
598968,S10004,LUNCH BAG RED RETROSPOT,Bags,1,2009-12-14,1.65,1.65,C17563,Germany,154,86,9,Adequate
534412,S10012,HAND WARMER UNION JACK,Gifts,21,2009-12-14,1.84,38.7,C10530,United Kingdom,254,60,3,Adequate
513291,S10012,HAND WARMER UNION JACK,Gifts,1,2009-12-14,1.87,1.87,C16938,United Kingdom,254,60,3,Adequate
577271,S10000,WHITE HANGING HEART T-LIGHT HOLDER,Home Decor,86,2009-12-14,1.31,112.57,C11551,United Kingdom,237,65,5,Adequate
588190,S10012,HAND WARMER UNION JACK,Gifts,3,2009-12-14,1.9,5.71,C16657,United Kingdom,254,60,3,Adequate
517280,S10006,PAPER CHAIN KIT 50S CHRISTMAS,Party,14,2009-12-14,2.67,37.4,C10404,United Kingdom,144,62,16,Adequate
585276,S10014,STRAWBERRY CERAMIC TRINKET BOX,Ceramics,1,2009-12-14,1.2,1.2,C18713,United Kingdom,108,85,6,Adequate
559998,S10015,PINK CHERRY LIGHTS,Lighting,5,2009-12-14,6.77,33.87,C10617,United Kingdom,107,31,4,Adequate
553912,S10010,SET 7 BABUSHKA NESTING BOXES,Toys,10,2009-12-14,7.9,79.0,C12064,United Kingdom,196,86,18,Adequate
558052,S10000,WHITE HANGING HEART T-LIGHT HOLDER,Home Decor,1,2009-12-15,1.29,1.29,C19928,United Kingdom,237,65,5,Adequate
510887,S10012,HAND WARMER UNION JACK,Gifts,5,2009-12-15,1.79,8.94,C13761,United Kingdom,254,60,3,Adequate
532891,S10014,STRAWBERRY CERAMIC TRINKET BOX,Ceramics,3,2009-12-15,1.29,3.86,C19726,United Kingdom,108,85,6,Adequate
519503,S10004,LUNCH BAG RED RETROSPOT,Bags,7,2009-12-15,1.57,11.01,C19225,United Kingdom,154,86,9,Adequate
530437,S10007,CREAM CUPID HEARTS COAT HANGER,Home Decor,7,2009-12-15,2.82,19.71,C14879,United Kingdom,189,53,4,Adequate
545894,S10018,WOODEN FRAME ANTIQUE WHITE,Home Decor,18,2009-12-15,2.95,53.03,C11792,Australia,28,22,3,Adequate
521506,S10005,ASSORTED COLOUR BIRD ORNAMENT,Home Decor,1,2009-12-15,1.57,1.57,C16156,Germany,163,71,12,Adequate
569544,S10003,PARTY BUNTING,Party,1,2009-12-15,4.84,4.84,C12236,France,229,56,6,Adequate
514264,S10003,PARTY BUNTING,Party,5,2009-12-15,5.49,27.45,C17599,Belgium,229,56,6,Adequate
511817,S10010,SET 7 BABUSHKA NESTING BOXES,Toys,21,2009-12-15,7.73,162.28,C16287,United Kingdom,196,86,18,Adequate
564172,S10018,WOODEN FRAME ANTIQUE WHITE,Home Decor,21,2009-12-15,3.29,69.08,C17592,United Kingdom,28,22,3,Adequate
562095,S10012,HAND WARMER UNION JACK,Gifts,7,2009-12-15,1.72,12.02,C11740,United Kingdom,254,60,3,Adequate
540033,S10005,ASSORTED COLOUR BIRD ORNAMENT,Home Decor,21,2009-12-16,1.75,36.82,C18519,Germany,163,71,12,Adequate
548947,S10012,HAND WARMER UNION JACK,Gifts,18,2009-12-16,1.62,29.08,C10694,United Kingdom,254,60,3,Adequate
533251,S10012,HAND WARMER UNION JACK,Gifts,3,2009-12-16,1.85,5.55,C12928,United Kingdom,254,60,3,Adequate
513936,S10011,GLASS STAR FROSTED T-LIGHT HOLDER,Home Decor,3,2009-12-16,4.38,13.15,C15086,United Kingdom,191,64,15,Adequate
589187,S10002,JUMBO BAG RED RETROSPOT,Bags,3,2009-12-16,1.72,5.16,C18522,United Kingdom,215,51,16,Adequate
525490,S10012,HAND WARMER UNION JACK,Gifts,3,2009-12-16,1.78,5.33,C18966,United Kingdom,254,60,3,Adequate
548970,S10007,CREAM CUPID HEARTS COAT HANGER,Home Decor,10,2009-12-16,2.89,28.93,C17093,France,189,53,4,Adequate
538321,S10000,WHITE HANGING HEART T-LIGHT HOLDER,Home Decor,7,2009-12-17,1.22,8.52,C19472,United Kingdom,237,65,5,Adequate
538421,S10009,RED WOOLLY HOTTIE WHITE HEART,Gifts,7,2009-12-17,3.36,23.54,C11055,Netherlands,275,90,18,Adequate
595662,S10019,BAKING SET 9 PIECE RETROSPOT,Kitchenware,3,2009-12-17,4.55,13.65,C13025,United Kingdom,114,46,12,Adequate
568527,S10005,ASSORTED COLOUR BIRD ORNAMENT,Home Decor,18,2009-12-17,1.59,28.69,C19307,United Kingdom,163,71,12,Adequate
562009,S10018,WOODEN FRAME ANTIQUE WHITE,Home Decor,5,2009-12-17,3.18,15.91,C14284,Belgium,28,22,3,Adequate
536952,S10001,REGENCY CAKESTAND 3 TIER,Kitchenware,5,2009-12-17,12.78,63.9,C15197,Netherlands,90,78,17,Adequate
586333,S10014,STRAWBERRY CERAMIC TRINKET BOX,Ceramics,172,2009-12-17,1.32,226.69,C19036,United Kingdom,108,85,6,Adequate
581023,S10002,JUMBO BAG RED RETROSPOT,Bags,3,2009-12-17,1.74,5.21,C16583,United Kingdom,215,51,16,Adequate
531466,S10004,LUNCH BAG RED RETROSPOT,Bags,5,2009-12-17,1.57,7.85,C10117,United Kingdom,154,86,9,Adequate
551303,S10011,GLASS STAR FROSTED T-LIGHT HOLDER,Home Decor,10,2009-12-17,4.51,45.08,C17707,United Kingdom,191,64,15,Adequate
533863,S10011,GLASS STAR FROSTED T-LIGHT HOLDER,Home Decor,21,2009-12-17,4.36,91.5,C17717,United Kingdom,191,64,15,Adequate
